address,lat,longi,Route_Name,Locality_Name,postal_town,Admin_level3,Admin_level2,Admin_level1,country
SL1 2AZ St. Laurence Way,51.505037200000004,-0.5886384,Saint Laurence Way,Slough,Slough,,Slough,England,United Kingdom
SL1 2BA Kenilworth Close,51.5038146,-0.5921,Kenilworth Close,Slough,Slough,,Slough,England,United Kingdom
SL1 2BB Albert Close,51.5043691,-0.5903933000000001,Albert Close,Slough,Slough,,Slough,England,United Kingdom
SL1 2BD Albert Street,51.5044415,-0.5919034000000001,Albert Street,Slough,Slough,,Slough,England,United Kingdom
SL1 2BE Albert Street,51.504526,-0.5924510000000001,Albert Street,Slough,Slough,,Slough,England,United Kingdom
SL1 2BG Mountbatten Close,51.5037993,-0.5875495,Mountbatten Close,Slough,Slough,,Slough,England,United Kingdom
SL1 2BJ Albert Street,51.505024299999995,-0.5939696,Albert Street,Slough,Slough,,Slough,England,United Kingdom
SL1 2BL Parkside Walk,51.503149,-0.5856285999999999,Parkside Walk,Slough,Slough,,Slough,England,United Kingdom
SL1 2BN St. Laurence Way,51.504604799999996,-0.5887298000000001,Saint Laurence Way,Slough,Slough,,Slough,England,United Kingdom
SL1 2BQ Priors Close,51.5045448,-0.5879911999999999,Priors Close,Slough,Slough,,Slough,England,United Kingdom
SL1 2BU Albert Street,51.5054058,-0.5949744,Albert Street,Slough,Slough,,Slough,England,United Kingdom
SL1 2BW St. Laurence Way,51.505037200000004,-0.5886384,Saint Laurence Way,Slough,Slough,,Slough,England,United Kingdom
SL1 2BX Eastfield Close,51.50455179999999,-0.5890342,Eastfield Close,Slough,Slough,,Slough,England,United Kingdom
SL1 2BY Burlington Road,51.50959879999999,-0.5983956,Burlington Road,Slough,Slough,,Slough,England,United Kingdom
SL1 2DA Upton Park,51.5042187,-0.5958519,Upton Park,Slough,Slough,,Slough,England,United Kingdom
SL1 2DB Upton Park,51.5042187,-0.5958519,Upton Park,Slough,Slough,,Slough,England,United Kingdom
SL1 2DD Upton Park,51.5049311,-0.5962685999999999,Upton Park,Slough,Slough,,Slough,England,United Kingdom
SL1 2DE Upton Park,51.5041445,-0.5939097999999999,Upton Park,Slough,Slough,,Slough,England,United Kingdom
SL1 2DF Upton Close,51.5041626,-0.5929935000000001,Upton Close,Slough,Slough,,Slough,England,United Kingdom
SL1 2DG Upton Park,51.50443,-0.5959277,Upton Park,Slough,Slough,,Slough,England,United Kingdom
SL1 2DN Aspects Court,51.50671879999999,-0.5982647,Upton Park,Slough,Slough,,Slough,England,United Kingdom
SL1 2DP Upton Park,51.505491299999996,-0.597193,Upton Park,Slough,Slough,,Slough,England,United Kingdom
SL1 2DR Nightingale Court,51.5042451,-0.5884256,Nightingale Court,Slough,Slough,,Slough,England,United Kingdom
SL1 2DS Upton Park,51.5042404,-0.5941558000000001,Upton Park,Slough,Slough,,Slough,England,United Kingdom
SL1 2DT Upton Park,51.5040493,-0.5946551999999999,Upton Park,Slough,Slough,,Slough,England,United Kingdom
SL1 2DU Lewes Court,51.5065787,-0.6161262000000001,Lewes Court,Slough,Slough,,Slough,England,United Kingdom
SL1 2DX Windsor Road,51.508086799999994,-0.5963225999999999,Windsor Road,Slough,Slough,,Slough,England,United Kingdom
SL1 2DY Aspects Court,51.5067516,-0.5982649999999999,Aspects Court,Slough,Slough,,Slough,England,United Kingdom
SL1 2DZ Hornbeam Gardens,51.50330579999999,-0.5872973000000001,Hornbeam Gardens,Slough,Slough,,Slough,England,United Kingdom
SL1 2EA St. Laurence Way,51.5041166,-0.588899,Saint Laurence Way,Slough,Slough,,Slough,England,United Kingdom
SL1 2ED Upton Park,51.5029364,-0.5967023,Upton Park,Slough,Slough,,Slough,England,United Kingdom
SL1 2EG Aspects Court,51.5067516,-0.5982649999999999,Aspects Court,Slough,Slough,,Slough,England,United Kingdom
SL1 2EJ Windsor Road,51.508370299999996,-0.5960489000000001,Windsor Road,Slough,Slough,,Slough,England,United Kingdom
SL1 2EL Windsor Road,51.507395,-0.5967707,Windsor Road,Slough,Slough,,Slough,England,United Kingdom
SL1 2EP Moorstown Court,51.5080886,-0.5982654000000001,Moorstown Court,Slough,Slough,,Slough,England,United Kingdom
SL1 2ER Chalvey Park,51.5080027,-0.5992986,Chalvey Park,Slough,Slough,,Slough,England,United Kingdom
SL1 2ES Primary Road,51.505056,-0.6086174999999999,Chalvey Park,Slough,Slough,,Slough,England,United Kingdom
SL1 2ET Albert Street,51.504778200000004,-0.5933630999999999,Albert Street,Slough,Slough,,Slough,England,United Kingdom
SL1 2EZ Aspects Court,51.5067516,-0.5982649999999999,Aspects Court,Slough,Slough,,Slough,England,United Kingdom
SL1 2GB Upton Park,51.5043623,-0.5947465999999999,Upton Park,Slough,Slough,,Slough,England,United Kingdom
SL1 2GD Upton Park,51.5041445,-0.5939097999999999,Upton Park,Slough,Slough,,Slough,England,United Kingdom
SL1 2GE Upton Park,51.5041445,-0.5939097999999999,Upton Park,Slough,Slough,,Slough,England,United Kingdom
SL1 2GF Upton Park,51.5041445,-0.5939097999999999,Upton Park,Slough,Slough,,Slough,England,United Kingdom
SL1 2GG Bronte Close,51.5093453,-0.5992139,Bronte Close,Slough,Slough,,Slough,England,United Kingdom
SL1 2HD Chalvey Park,51.5076749,-0.5978472,Chalvey Park,Slough,Slough,,Slough,England,United Kingdom
SL1 2HP Beechwood Gardens,51.5087021,-0.597595,Beechwood Gardens,Slough,Slough,,Slough,England,United Kingdom
SL1 2HR Beechwood Gardens,51.5087021,-0.597595,Beechwood Gardens,Slough,Slough,,Slough,England,United Kingdom
SL1 2HS Chalvey Park,51.5076749,-0.5978472,Chalvey Park,Slough,Slough,,Slough,England,United Kingdom
SL1 2HT Chalvey Park,51.5077899,-0.5984148,Chalvey Park,Slough,Slough,,Slough,England,United Kingdom
SL1 2HU Chalvey Park,51.5077899,-0.5984148,Chalvey Park,Slough,Slough,,Slough,England,United Kingdom
SL1 2HW Beechwood Gardens,51.5082708,-0.5977677,Beechwood Gardens,Slough,Slough,,Slough,England,United Kingdom
SL1 2HX Chalvey Park,51.5077007,-0.5998534000000001,Chalvey Park,Slough,Slough,,Slough,England,United Kingdom
SL1 2HY Edwards Court,51.5073958,-0.6004885,Edwards Court,Slough,Slough,,Slough,England,United Kingdom
SL1 2JA Windsor Road,51.505419399999994,-0.598232,Windsor Road,Slough,Slough,,Slough,England,United Kingdom
SL1 2JB Windsor Road,51.50449860000001,-0.5989815,Windsor Road,Slough,Slough,,Slough,England,United Kingdom
SL1 2JD Windsor Road,51.503774,-0.5994640999999999,Windsor Road,Slough,Slough,,Slough,England,United Kingdom
SL1 2JE Vale Grove,51.5034703,-0.5984501999999999,Vale Grove,Slough,Slough,,Slough,England,United Kingdom
SL1 2JG Chalvey Road West,51.506644200000004,-0.6068701,Chalvey Road West,Slough,Slough,,Slough,England,United Kingdom
SL1 2JH Winvale,51.5031492,-0.5988555,Winvale,Slough,Slough,,Slough,England,United Kingdom
